Predicate, number, Subject, Predicate, String,,,,,
type,1263077,Angola,type,Country,,,,,
label,783008,The1900s,label,Twentieth Century,,,,,
altLabel,336216,Microchannel,altLabel,MicroChannel architecture,,,,,
subClassOf,272033,Broken,subClassOf,NonFunctional,,,,,
isDefinedBy,232180,Sileshi_Sihine,isDefinedBy,SUMO.owl,,,,,
name,173066,previous_names,name,Previous names,,,,,
comment,150857,MoneyTransfer,comment,"$Paying.\\n            \\n            Includes parts of verb sense 2 of move (the metaphorical sense) and verb senses 1 and 5 of transfer\\n              and to verb sense 3 of shift. For movement of PhysicalObjects from one location\\n               to another use CausingAnotherObjectsTranslationalMotion.\\n               2. (60) move, displace - (cause to move, both in a concrete and\\n                 in an abstract sense; Move those boxes into the corner, please; \\n                 Im moving my money to another bank; \\n                 The director moved more responsibilities onto his new assistant)\\n             WN verb transfer:\\n               3. (5) transfer, shift - (move around; transfer the packet from his \\n                  trouser pockets to a pocket in his jacket)\\n               5. (1) transfer - (cause to change ownership; I transferred my stock \\n                  holdings to my children)\\n            ",,,,,
domain,112526,isaGraduateOf,domain,Graduate,,,,,
definition,78925,Butterfly,definition,The collection of all butterflies,,,,,
prefLabel,78145,NoncommutativeGeometry,prefLabel,noncommutative geometry,,,,,
superClassOf,76664,BiologicalLivingObject,superClassOf,InvasiveSpecies,,,,,
subPropertyOf,45589,usedBodyPart,subPropertyOf,hasParticipant, released Jan 23, 2019. Full mappings to Wikidata and Wikipedia have been completed, as well as complete definitions for all RCs (reference concepts).\\n\\nAll duplicates have been checked and many minor typology corrections have been made.\\n\\nThis version is understood to comprise the first, complete, open-source release of KBpedia. We consider this the official open-source baseline for KBpedia.\\n\\nNote that KBpedia mappings are available in separate files.
expected_type,32578,administrative_parent,expected_type,administrative_area,,,,,
disjointWith,30290,Sneaking,disjointWith,Marching,,,,,
domainIncludes,27801,isObservedBy,domainIncludes,ObservableProperty,,,,,
rangeIncludes,22846,hasFeatureOfInterest,rangeIncludes,FeatureOfInterest,,,,,
inverseOf,16719,wasUsedAsInstrumentInEvent,inverseOf,wasFacilitatedByInstrument,,,,,
wordnet,16455,Upright,wordnet,erect,,,,,
description,16313,DOLCE-2,description,The DOLCE upper level ontology in DAML+OIL,,,,,
inScheme,10188,Isthme,inScheme,liste,,,,,
abbreviation,9266,SanJulianAirport,abbreviation,SNJ,,,,,
member,8424,Honduras,member,Organizations-IFRCS,,,,,
defines,7446,s-communication-theory,defines,channel-role,,,,,
status,7134,void,status,UnderDevelopment,,,,,
seeAlso,6684,Libya,seeAlso,Libya,,,,,
sameAs,4861,Pakistan,sameAs,Pakistan,,,,,
ldoce,4562,TheEasternWorld,ldoce,east,,,,,
sourceTag,3738,Convenience,sourceTag,convenience,,,,,
en,2918,Ringlet,en,curls,,,,,
propertyDisjointWith,2837,intervalEquals,propertyDisjointWith,intervalIn,,,,,
value,2539,BiMonthly,value,bi-monthly,,,,,
geographicSubregion,2397,Countries-CO-provinces-NortedeSantander,geographicSubregion,Colombia,,,,,
subClass,2072,Rank_Wachtmeister_Russia,subClass,Rank_Wachtmeister,,,,,
hasTopConcept,1731,liste,hasTopConcept,PAIEspaceNaturel,,,,,
isPropertyOf,1595,tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_turbulent_deposition,isPropertyOf,atmosphere,,,,,
hasProperty,1595,surface,hasProperty,surface_upward_sensible_heat_flux,,,,,
scopeNote,1379,contributor,scopeNote,Used to link a bibliographic item to one of its contributor: can be an author,,,,,
key,1246,salt_pond,key,landuse,,,,,
shortDef,1238,area,shortDef,Top level of the geopolitical.owl ontology.,,,,,
authoritativeLabel,1237,wam,authoritativeLabel,Writer of accompanying material,,,,,
subject,1175,DOLCE-2,subject,Everything :-),,,,,
broader,1001,RankFamily,broader,RankSuperfamily,,,,,
propertyType,839,ocean_heat_x_transport_due_to_bolus_advection,propertyType,scalar,,,,,
hasSynonym,757,N_1_2,hasSynonym,Half,,,,,
supersededBy,703,actors,supersededBy,actor,,,,,
specialityConsistsOf,647,4,specialityConsistsOf,4,,,,,
belongsToModule,631,InfoPrint,belongsToModule,Printer,,,,,
isTheOppositeOf,622,MultiColored,isTheOppositeOf,Monochromatic,,,,,
differentFrom,610,Asia,differentFrom,EarthsSurface,,,,,
note,486,SubjectConcept,note,Subject concepts are defined by: (1) Nouns or noun phrases (2) These are concrete kinds of things or ideas in the real world (3) Broad, which are insects that have three dramatically distinct life-stages, and which are colorful and winged as adults. A type of Lepidopteran. Butterfly is an OrganismClassificationType.,,,
component,462,Insertion,component,collections,,,,,
historyNote,422,content,historyNote,rdfvalue,,,,,
rankEquivalentTo,404,Rank_Marshal_EnglishTradition,rankEquivalentTo,Rank_Admiral_of_the_fleet_EnglishTradition,,,,,
usageNote,381,label,usageNote,RADion uses this to provide the name or label of any class.,,,,,
attribute,375,Thomas_Hampson,attribute,Musician,,,,,
SubClassOf,358,consumes,SubClassOf,consumes,,,,,
narrower,355,RankPhylum,narrower,RankSubphylum,,,,,
economyType,331,Mauritania,economyType,LessDevelopedCountry,,,,,
involves,328,DPO,involves,NotifyDataSubjectAboutDPOForDataBreach,,,,,
pertainsTo,316,Diplomatic,pertainsTo,Diplomat,,,,,
nameOfficialEN,309,Anguilla,nameOfficialEN,Anguilla,,,,,
nameShortEN,307,Martinique,nameShortEN,Martinique,,,,,
nameListEN,300,northern_Europe,nameListEN,northern Europe,,,,,
organizationalObjective,291,CentralEuropeanInitiative,organizationalObjective,EconomicCooperation,,,,,
part,278,Paris,part,France,,,,,
