Predicate, number, Subject, Predicate, String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
range,109400,chins,range,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,783008,The1900s,label,Twentieth Century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nature,3,core.rdf,nature,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isDefinedBy,232180,Sileshi_Sihine,isDefinedBy,SUMO.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seeAlso,6684,Libya,seeAlso,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,1263077,Angola,type,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,150857,MoneyTransfer,comment,"$Paying.\\n            \\n            Includes parts of verb sense 2 of move (the metaphorical sense) and verb senses 1 and 5 of transfer\\n              and to verb sense 3 of shift. For movement of PhysicalObjects from one location\\n               to another use CausingAnotherObjectsTranslationalMotion.\\n               2. (60) move, displace - (cause to move, both in a concrete and\\n                 in an abstract sense; Move those boxes into the corner, please; \\n                 Im moving my money to another bank; \\n                 The director moved more responsibilities onto his new assistant)\\n             WN verb transfer:\\n               3. (5) transfer, shift - (move around; transfer the packet from his \\n                  trouser pockets to a pocket in his jacket)\\n               5. (1) transfer - (cause to change ownership; I transferred my stock \\n                  holdings to my children)\\n            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2076,1,title,Relationship Ontology (RO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,16313,DOLCE-2,description,The DOLCE upper level ontology in DAML+OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subClassOf,272033,Broken,subClassOf,NonFunctional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator,4071,nan,creator,Fr\xc3\xa9d\xc3\xa9rick Giasson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxCardinality,4868,Naa3332aef0a749c6911e595de4e8c17f,maxCardinality,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onProperty,64092,N902d712b2fff428182441a4e2f33b2d9,onProperty,hasIntendedResultOrProduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain,112526,isaGraduateOf,domain,Graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source,7208,1,source,Barry Smith, Werner Ceusters, Bert Klagges, Jacob Koehler, Anand Kumar, Jane Lomax, Chris Mungall, Fabian Neuhaus," Alan Rector and Cornelius Rosse: ""Relations in Biomedical Ontologies""",,,,,,,,,,,,,,,,,,,,,
license,580,bfo.owl,license,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredNamespacePrefix,518,nan,preferredNamespacePrefix,kbpedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preferredNamespaceUri,482,nan,preferredNamespaceUri,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keyLength,2,DES,keyLength,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
term_status,10213,min_weight,term_status,unstable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,173066,previous_names,name,Previous names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasNSALevel,8,Skipjack,hasNSALevel,Type2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
versionInfo,3387,nan,versionInfo,Version 2.00, released Jan 23, 2019. Full mappings to Wikidata and Wikipedia have been completed, as well as complete definitions for all RCs (reference concepts).\\n\\nAll duplicates have been checked and many minor typology corrections have been made.\\n\\nThis version is understood to comprise the first, complete, open-source release of KBpedia. We consider this the official open-source baseline for KBpedia.\\n\\nNote that KBpedia mappings are available in separate files.,,,,,,,,,,,,,,,,,,,,,,,,
contributor,1011,bfo.owl,contributor,Thomas Bittner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
issued,2376,nan,issued,22/04/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modified,2885,whois,modified,13/10/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
historyNote,422,content,historyNote,rdfvalue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasValue,12311,Nd8b785bb96064dc7a5d266b29aa9cbdb,hasValue,Wrapper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
