Predicate,Number
type,1263077
label,783008
altLabel,336216
subClassOf,272033
isDefinedBy,232180
tagCount,203147
word,203147
containsWordSense,203147
name,173066
equivalentClass,156530
comment,150857
lexicalForm,146212
synsetId,115424
domain,112526
range,109400
first,102544
rest,102542
subsumingRelation,97476
definition,78925
prefLabel,78145
superClassOf,76664
onProperty,64092
subPropertyOf,45589
birthdate,45298
schema,32990
expected_type,32578
disjointWith,30290
birthplace,30260
domainIncludes,27801
someValuesFrom,25732
deathdate,25509
unique,25433
rangeIncludes,22846
identifier,22809
axiom,19717
wnsense,18797
unionOf,16992
inverseOf,16719
wordnet,16455
description,16313
deathplace,15868
equivalentProperty,15401
allValuesFrom,12943
hasValue,12311
externalImage,11937
located,11322
instanceRelation,10935
describedby,10460
term_status,10213
inScheme,10188
abbreviation,9266
member,8424
intersectionOf,7799
defines,7446
source,7208
status,7134
wasDerivedFrom,6852
seeAlso,6684
describes,6681
hasSubproperty,6656
reverse_property,5780
maxCardinality,4868
sameAs,4861
marc21equivalent,4664
notation,4620
ldoce,4562
guid,4170
creator,4071
equalsTo,4022
IAO_0000115,3791
cardinality,3758
sourceTag,3738
equivalenceRelation,3591
versionInfo,3387
IAO_0000111,3266
IAO_0000117,3219
minCardinality,3020
argument1,3016
en,2918
modified,2885
propertyDisjointWith,2837
IAO_0000114,2766
example,2665
IAO_0000119,2621
value,2539
geographicSubregion,2397
issued,2376
argument2,2312
propertyPredicate,2309
inDataset,2255
IAO_0000112,2203
hasMember,2154
rankOf,2106
title,2076
subClass,2072
hasCode,2002
isInGroup,1934
landAreaOnly,1855
generalQuantityKind,1841
hasTopConcept,1731
lexicalAlias,1709
isPropertyOf,1595
hasProperty,1595
onClass,1532
capitalCity,1526
hasTopMemberOfMADSScheme,1505
sourceIdentifier,1485
isPartOfUGSN,1457
UGSNConsistsOf,1457
hasLevelEducation,1454
datcat,1428
qualifiedCardinality,1397
scopeNote,1379
descriptionAnnot,1308
imports,1298
code,1276
key,1246
shortDef,1238
authoritativeLabel,1237
subject,1175
hasPart,1111
contributor,1011
date,1005
broader,1001
wikipedia_version,955
hasUnconstrained,868
withRestrictions,841
propertyType,839
onDatatype,836
annotatedProperty,820
annotatedSource,820
annotatedTarget,820
body,800
head,779
meetsSpatially,779
exampleAnnot,760
IAO_0000116,757
hasSynonym,757
IAO_0010000,754
hasVersion,752
deprecated,708
IAO_0000118,705
classPredicate,704
toolkitLabel,704
supersededBy,703
toolkitDefinition,701
IAO_0000232,675
created,666
specialityConsistsOf,647
subset,638
hasBorderWith,637
belongsToModule,631
isTheOppositeOf,622
differentFrom,610
onDataRange,609
homepage,609
antiSubsumingRelation,597
license,580
oneOf,568
AnnotationAssertion,555
members,547
propertyChainAxiom,538
IAO_0000412,534
publisher,529
complementOf,520
preferredNamespacePrefix,518
category,513
rights,503
note,486
preferredNamespaceUri,482
minQualifiedCardinality,463
component,462
OBI_9991118,458
level,442
historyNote,422
rankEquivalentTo,404
changeNote,397
equivalentTo,395
usageNote,381
attribute,375
SubClassOf,358
derivedFrom,357
narrower,355
format,333
economyType,331
involves,328
sourceCreator,324
pertainsTo,316
minInclusive,312
validSince,310
validUntil,310
nameOfficialEN,309
nameShortEN,307
instructionNumber,307
nameOfficialES,300
nameListEN,300
nameOfficialFR,299
nameOfficialZH,298
nameListES,297
codeFAOTERM,297
nameShortFR,295
nameListFR,294
nameShortES,293
nameOfficialAR,293
organizationalObjective,291
userdocs,279
part,278
isRelatedTo,275
sourceModified,274
nameListZH,274
nameOfficialRU,271
mbox,270
nameListAR,270
codeUN,269
nameShortZH,269
codeWasSpecifiedByAuthority,267
isPartOfCodeList,267
representsCode,267
nameShortAR,266
codeFAOSTAT,266
nameListIT,264
isAbout,263
hasCodeString,263
representsInstance,263
related,261
nameShortIT,261
nameOfficialIT,261
predicate,257
hasMassInGrams,257
codeAGROVOC,256
editorialNote,253
maxQualifiedCardinality,252
plural,251
IAO_0000602,246
nameListRU,245
versionIRI,242
nameShortRU,239
property,232
priorVersion,226
codeISO2,225
codeISO3,224
countryAreaUnit,223
agriculturalAreaUnit,223
agriculturalAreaTotal,223
countryAreaYear,223
landAreaTotal,223
landAreaYear,223
countryAreaTotal,223
codeGAUL,223
landAreaUnit,223
agriculturalAreaYear,223
nationalityIT,222
nationalityES,222
nationalityRU,222
nationalityZH,222
nationalityEN,222
nationalityAR,222
populationYear,221
populationNotes,221
populationUnit,221
populationTotal,221
nationalityFR,221
hasDbXref,221
nameCurrencyEN,220
supercededBy,220
landAreaNotes,219
codeUNDP,219
nameCurrencyRU,219
countryAreaNotes,219
nameCurrencyZH,217
nameCurrencyAR,217
agriculturalAreaNotes,217
codeDBPediaID,215
nameCurrencyIT,214
maxInclusive,212
superPropertyOf,208
etag,204
inflationRateInCountry,204
isaSynonymOf,204
arg1,200
inverse,199
isReplacedBy,198
locatedIn,195
GDPYear,194
isAnAttributeOf,194
path,193
maxExclusive,193
GDPTotalInCurrentPrices,192
GDPNotes,190
GDPUnit,190
BFO_0000179,189
dm,189
correspondsTo,188
hasMinLatitude,188
hasMaxLatitude,188
hasMinLongitude,188
hasMaxLongitude,188
valueType,183
conformsTo,180
qualifiedForm,179
independenceDate,179
replaces,176
dateEstablished,175
Declaration,174
codeCurrency,171
closeMatch,171
currencyType,171
HDITotal,170
HDIYear,170
HDINotes,170
unqualifiedForm,167
unitOf,165
BFO_0000180,164
StillImage,162
object,162
subAttribute,160
topConceptOf,159
n,158
hasUnitOfMeasurement,157
legalName,156
nameCurrencyES,156
rankSeniorToTransitive,156
rankJuniorToTransitive,156
hasMaker,156
nameCurrencyFR,155
coverage,155
minExclusive,154
url,151
volume,148
takesValue,145
container,140
hasUnit,135
nodeKind,132
distinctMembers,131
tagNumber,131
maxCount,130
DisjointClasses,130
maker,129
exactMatch,129
IAO_0000600,129
hasFlavor,129
disjointUnionOf,126
inverseSingular,123
hasBody,123
varName,122
IAO_0000601,122
hasSugar,120
rankJuniorTo,119
acronym,118
isPartOfList,117
rankSeniorTo,115
hasFormat,114
sharesDefinitionWith,111
names,110
atomicNumber,110
broaderTransitive,106
associatedTo,106
hasAcronym,106
affiliation,103
isTheAdverbialFormOf,103
isLocatedAt,101
isTheAttributeOfSomethingThatExperienced,101
abstract,100
FileFormat,100
constraint,100
constraints,100
meltingPoint,99
isPartOf,98
subOrganization,98
IAO_0000231,97
governmentType,97
arg2,95
boilingPoint,95
length,93
isTheAttributeOfSomeoneFeeling,91
hasStereotype,90
schemaIcon,89
earthAltitude,89
correspondsToInverse,88
hasQuantifier,85
datatype,84
sourceKey,84
external,83
usesNonImportedResource,79
accessURL,76
priority,76
hasForm,75
hasNumericalValue,73
hasComponentElement,73
bookmark,72
logo,72
relatedInternalConcept,72
incompatibleWith,71
sequence,71
minCount,68
primaryTopic,67
dependentGeopoliticalArea,66
degree,65
interval,65
shortDescription,64
isMoreIntenseThan,63
markdownDescription,62
biochemicalAgentSyndrome,61
isTheAttributeOfSomeonePerforming,61
page,60
exampleOfUsage,60
inProfile,60
attributePosition,60
isConfiguredBy,60
rankingDirection,60
memberOf,59
wasCreatedBy,59
FIBO,59
class,58
hasSubClass,58
biochemicalAgentDelivery,58
permits,57
vocabulary,57
isSuccessorOf,57
isPredecessorOf,57
isAnOrganicPartOf,57
depiction,56
expression,56
hasMADSSchemeMember,56
performedBy,55
backwardCompatibleWith,54
_1,53
manufacturer,53
hasTopic,52
_2,51
launch,50
origin,50
abv,50
overlapsSpatially,50
_3,49
compatibleWith,49
isOwnedBy,48
isVersionOf,47
partOf,47
isTheAttributeOfSomethingDoing,47
startingTime,46
hasMonth,45
isAnAttributeValueOf,45
requires,44
_4,44
pattern,44
endingTime,44
hasComponentSubstance,44
language,43
termGroup,43
successorAttribute,43
reversesTheEffectOf,43
version,41
htmlColor,41
createdBy,40
fermentation_base,40
color,40
inverseProperty,40
OBI_0001886,40
contrastsWith,40
wasPerformedByAgent,40
allowsFor,39
specificPropertyOf,39
performedAt,39
rankSeniorTo_Transitive,39
rankJuniorTo_Transitive,39
_5,38
parameter,38
canMintNew,38
from,38
use,38
hasQualitativeAttribute,38
canonicalLocation,37
slug,37
changeReason,37
public,37
prov-dm-constraints,37
supportsSecurityObjectives,37
year,36
hasVitalityAttribute,36
attributionURL,35
alternative,34
prov-dm,34
hasID,34
biologicalAgentCarrier,33
firstName,32
dataPropertyDomain,32
qlabel,32
inversePath,32
modifier,32
isAbstract,32
prov-n,32
addressProblem,32
case,32
for,32
filePrefix,32
node,31
arg3,31
lastName,30
variable,30
wikipedia,30
mode,30
tonic,30
hasImage,30
hasConclusion,30
uri,29
ocmConnectionID,29
editorsDefinition,29
proposeFramework,29
hasISO3166_Digraph,29
subsection,28
isAdministeredBy,28
cites,28
provideSolution,28
isTheTraitOfSomeoneWithAttribute,28
hasCardinalityNumber,28
provider,27
provided,27
alternate,27
_6,27
labelTemplate,27
text,27
templates,27
where,27
publishes,27
derivesFrom,27
dimension,26
hasSelf,26
hasSolution,26
term,26
isTheAttributeOfSomethingHaving,26
hasNumericalAbbreviation,26
order,25
ibu,25
srm,25
wasInfluencedBy,25
hasShape,25
hasAbstractRepresentation,25
seealso,24
SubObjectPropertyOf,24
Annotation,24
aq,24
similarTo,24
hasOrderNumber,24
attributionName,23
_7,23
hasFutureWork,23
industryProductType,23
diseaseSymptom,23
hasProtonCount,23
causes,23
_8,22
_9,22
Class,22
toClass,22
OBI_0001847,22
hadSubjectOfStudy,22
changes,21
image,21
ObjectProperty,21
measuresQuality,21
interest-relevance,21
isDerivedFrom,21
equivalent,20
coversRequirements,20
ontologysomewhatSameAs,20
deprecatedBy,20
recommendedRangeOfMeasure,20
hasMaxValue,20
hasMinValue,20
hasBeliever,20
sub-area-of,19
specializes,19
author,19
_10,19
_11,19
dataPropertyRange,19
mbox_sha1sum,19
hasKey,19
targetClass,19
measure,19
isPerformedByAgent,19
hasAdverbialForm,19
isGreaterThan,19
consistsOfManyOf,19
coreeditorialNote,18
isPrimaryTopicOf,18
similar,18
elements,18
reliesOn,18
setting-for,18
embodiment,18
claimedTerritory,18
isPreparedFromSubstance,18
isaSubOrganizationOf,18
hasObjectType,18
isTheAttributeOfSomethingCausing,18
hasGndCode,17
moreinfo,17
defaultLanguage,17
associationName,17
Definition,17
hasCommand,17
hasGUI,17
realization,17
isEmittedBy,17
believes,17
isTheAttributeOfSomeoneWithTrait,17
hasChemicalFormula,17
isDesignedToCover,17
isProducedNaturallyBy,17
previous_content,16
ingredient,16
years,16
food,16
hasFunction,16
isReferencedBy,16
conclusion,16
isaValueOf,16
isLessIntenseThan,16
kids,16
phase,15
currencyValue,15
isanIntensiveFormOf,15
hasNumerator,15
claimsJurisdictionOverTerritory,15
isTheAttributeOfSomethingThatCanUndergo,15
hasDenominator,15
available,14
nick,14
_15,14
_14,14
_13,14
_16,14
_12,14
subObjectPropertyOf,14
editor,14
natural,14
classNumber,14
propertyNumber,14
revision,14
namespace,14
assurance,14
hasIntent,14
narrowMatch,14
contact,14
nominalSize,14
transitiveOver,14
implementedIn,14
diseaseMortality,14
disjoint,14
flowsInto,14
hasStartingTimePoint,14
hasEndingTimePoint,14
hasMainComponentSubstance,14
isSmallerThan,14
productProperty,13
_18,13
_17,13
_19,13
owner,13
licence,13
concept,13
namespacePrefix,13
pfx,13
scenarios,13
alternativeName,13
hasColor,13
convertToBase,13
hasBaseUnit,13
retosNote,12
exampleResource,12
hasConsequences,12
extends,12
languageSpecific,12
attributionCondition,12
shareCondition,12
nonDerivativeWorksCondition,12
shareAlikeCondition,12
nonCommercialCondition,12
remixCondition,12
noCopyrightCondition,12
createCondition,12
rightGivenBy,12
broadMatch,12
happens-at,12
part-of,12
follows,12
precedes,12
curator,12
width,12
height,12
hasCorrespondingProcess,12
isaFictionalPortrayalOf,12
hasSecondElement,12
isApproximatelyEqualTo,12
isTypicallyaPhysicalPartOf,12
disposesToAction,12
quantity,11
subclassOf,11
exampleOf,11
hasAlgorithmName,11
hasAlgorithmCode,11
platform,11
TMO_0199,11
gearboxTypeId,11
orbits,11
equal,11
lethalDose,11
connected,11
uses,11
isDesignedToContain,11
hasStringRepresentation,11
hasSubjectOfState,11
hasIntendedResultOrProduct,11
hasFirstElement,11
isaSpatialPartOf,11
region,10
forAll,10
authorList,10
topic,10
withAttributionTo,10
premise,10
months,10
familyName,10
singular,10
wasRevisionOf,10
RO_0001900,10
IAO_0000136,10
roleProperty,10
hasCategory,10
keywords,10
supportTechnology,10
caption,10
defined-by,10
partlyLocated,10
antiEquivalenceRelation,10
isUsedToMeasure,10
isTheAuthorOf,10
isaPhysicalPartOf,10
_22,9
_20,9
_23,9
_21,9
duration,9
subClasssOf,9
arguments,9
builtin,9
resource,9
hasXsdDurationDescription,9
extractedFrom,9
mediaType,9
specializationOf,9
effect,9
hasExperimentSetup,9
usesInformationAsset,9
surname,9
standard,9
caliber,9
wasAuthoredBy,9
isAlmostTheSameAs,9
existsInContext,9
hasNSALevel,8
hasAttributeDescription,8
hasAttributeDataType,8
hasNameAttribute,8
hasAttributeValue,8
material,8
distillery,8
aging,8
waterSource,8
hasCreativePhase,8
hasBearerType,8
referesToNetwork,8
dateCreated,8
intent,8
originalName,8
ObjectPropertyDomain,8
ObjectPropertyRange,8
restriction,8
type2,8
displayPosition,8
seconds,8
days,8
hours,8
minutes,8
relatedCPs,8
similarProperty,8
expectedProperty,8
givenName,8
ontologynearlySameAs,8
IAO_0100001,8
accessedAPI,8
broaderThan,8
subCollection,8
hasPluralForm,8
isaPhysicalRepresentationOf,8
representsType,8
isAbilityToPerformActionType,8
hasPhysicalPart,8
hasSpatialPart,8
appearsInAxioms,8
isTheComparativeOfAttribute,8
hasConverseCorrelatedEvent,8
hasSubEvent,8
hasLowerLimit,8
hasUpperLimit,8
isAdjacentTo,8
sells,8
has-unit-of-measure,7
has-magnitude,7
refSemanticAttribute,7
hasInputType,7
referesToAddress,7
hasLicenseType,7
lastUpdated,7
hasGraphRole,7
onDataType,7
hasNext,7
hasPrevious,7
ordinalDayOfWeek,7
recommendedUnitOfMeasure,7
Rabbit,7
endorser,7
hasAuthor,7
inputType,7
weeks,7
specialized-by,7
engineeringSubcomponent,7
hasRoleFiller,7
isCausedBy,7
isTheAttributeOfSomeoneWithCapability,7
indicatesConformanceTo,7
isKnowledgeableAbout,7
isSpatiallyDisjointWith,7
isaComponentElementOf,7
hasTemporalLocation,7
practicesOccupation,7
wasTheAgentInAction,7
query,7
occurredAt,7
occurredLaterThan,7
hasResourceInfo,6
isAvailableForReferral,6
hasDateLastVerified,6
hasLastActionType,6
hasDateOfLastAction,6
isAvailableForResearch,6
isAvailableForDirectory,6
hasStatus,6
date-modified,6
date-added,6
hasAttribute,6
kingdom,6
genus,6
phylum,6
authority,6
species,6
section,6
family,6
hasTaxonomy,6
valueString,6
ctb,6
src_assurance,6
Import,6
premise1,6
premise2,6
hasEquivalencesWith,6
somewhatSameAs,6
membershipClass,6
has_provenance,6
isRuleEnabled,6
isCoAuthor,6
hasDescription,6
relatedMatch,6
modifierPrefix,6
optional,6
prompt,6
madeFromGrape,6
supercedes,6
exampleDataset,6
leaderPosition,6
meronym,6
subEchelon,6
consistsMostlyOfSubstance,6
hadChangedEntity,6
isTheAbsenceOf,6
canBeAnAttributeOnlyOf,6
causesMentalEventType,6
alwaysCauses,6
hasDesiredSituation,6
hasCorrespondingEvent,6
isaFeelingOfSomeoneWithAttribute,6
hadObjectPerceived,6
isaComponentSubstanceOf,6
hasSpatialRegion,6
hasAttributeType,6
isTheQuantityThatWillFillA,6
caused,6
isTheAttributeOfSomethingConsistingOf,6
relation,5
rdfValue,5
hasIDIE,5
hasNameIE,5
repository,5
contents,5
proof,5
brewery,5
mediator,5
isProducingData,5
hasNetworkBearerService,5
assembler,5
Jurisdiction,5
definedBy,5
metadataVoc,5
stylesheet,5
userVisible,5
hasGraphMetadata,5
hasCatalogEntry,5
consistsOf,5
IsUsedFor,5
isSubproblem,5
rangeConnectivityType,5
oppositeDirection,5
typicallyOccursAt,5
isTheMainComponentSubstanceOf,5
hasRecurrenceInterval,5
isaCapabilityOf,5
died,5
hasContrastingFeeling,5
isProducedByEventType,5
hasMainTopic,5
isUndesirableTo,5
isaLabelFor,5
pastPartOf,5
isaFractionalComponentOf,5
inContext,5
isaSourceOf,5
isTheOccupationOfA,5
hasRepeatedEntity,5
isaShapedFormOfSubstance,5
hasSite,4
hasInternetResource,4
hasTelephone,4
servesGeographicArea,4
offersService,4
hasServiceGroup,4
hasTaxonomyCode,4
journal,4
pages,4
isPartOfIE,4
html,4
bibliographicCitation,4
_24,4
triples,4
isMemberOf,4
pdr,4
fnd,4
bug-database,4
hasClass,4
revisionNumber,4
specificity,4
size,4
SubDataPropertyOf,4
DataProperty,4
pointOfContact,4
equivalentPropterty,4
type1,4
preferredNamespaceURI,4
hasComponent,4
approvedDocument,4
ontologysubClassOf,4
hiddenLabel,4
leadBy,4
MaxCardinality,4
file-release,4
componentProperty,4
hasMotivation,4
vendor,4
default,4
min,4
covers,4
setting,4
e-temporal-location,4
necessity-relevance,4
isOvertaking,4
speedWithBeforeTheGapCar,4
isInFrontOfOvertaker,4
hasSpaceLateral,4
bigSpeedDifference,4
hasSpaceAhead,4
hasSpaceBehind,4
sameClassAs,4
secretesToxin,4
containsInformation,4
subField,4
primaryGeopoliticalSubdivision,4
meatOfAnimal,4
dateDissolved,4
isUsedByDevice,4
isaPartOf,4
isTheQualityOfSomethingWithAttribute,4
containsCodeString,4
produced,4
speaksLanguage,4
isNormallyLocatedAt,4
impliesPriorEventType,4
wasExperiencedBy,4
doesNotHavePart,4
isInList,4
hasStartingPlace,4
hadObjectTransferred,4
containsCode,4
occurredInTimeInterval,4
isFasterThan,4
isInTheMindOf,4
hasPhysicalRepresentation,4
isTheAttributeOfSomethingProducedBy,4
hadObjectModified,4
identifies,4
servesAsaPathFor,4
isLargerBy1000than,4
informalTerm,4
isDirectedToward,4
isTheAttributeOfSomethingUnlikelyToUndergo,4
isanAbstractRepresentationOf,4
enablesOrAssists,4
has,4
hasInfinitiveForm,4
hasApproximateValue,4
isaCitizenOf,4
appliesInJurisdiction,4
perceivingCausesMentalEvent,4
nature,3
attributesResourceSpecialist,3
unit,3
spatial,3
address,3
number,3
hasAttributeIE,3
synonym,3
appendix,3
chapter,3
_25,3
discussionList,3
_example,3
componentAttachment,3
componentRequired,3
entities,3
codeList,3
transcription,3
wiki,3
ratingScaleMin,3
subPropertyof,3
toDoList,3
Literal,3
relatedDocumentation,3
mailing-list,3
normative-reference,3
relatedWebPage,3
dateOfIntroduction,3
Objectif,3
impliesAlso,3
directlyMoreCertainThan,3
directlyLessCertainThan,3
uriSpace,3
last,3
previousPublishedVersion,3
hasSteward,3
turtleFileURL,3
latestPublishedVersion,3
hasOwner,3
hasRole,3
represents,3
hasInput,3
followsEvaluationMethod,3
conversionOffset,3
code1,3
code2,3
prefSymbol,3
constructor,3
licenseDoc,3
r-location,3
closing-time,3
opening-time,3
beforeTheGap,3
lastFirstBeforeAfter-TheGap,3
yearValue,3
hasVintageYear,3
adjacentRegion,3
hasValueFloat,3
decimalValue,3
hasUoM,3
commandRankOfEchelon,3
causesSubclass,3
typicalPart,3
subsumesContentClass,3
naturalHazardTypeInArea,3
modalAttribute,3
initialPart,3
hadDamagedObject,3
hasEndingPlace,3
hasUnitObject,3
isDesiredBy,3
hasSingularForm,3
containsObjects,3
isTypicallyPerformedAt,3
