Predicate,Number
range,109400
label,783008
nature,3
isDefinedBy,232180
seeAlso,6684
type,1263077
comment,150857
title,2076
description,16313
subClassOf,272033
creator,4071
maxCardinality,4868
onProperty,64092
domain,112526
source,7208
license,580
preferredNamespacePrefix,518
preferredNamespaceUri,482
keyLength,2
term_status,10213
name,173066
hasNSALevel,8
versionInfo,3387
contributor,1011
issued,2376
modified,2885
historyNote,422
hasValue,12311
has-unit-of-measure,7
has-magnitude,7
created,666
allValuesFrom,12943
complementOf,520
rest,102542
subPropertyOf,45589
first,102544
disjointWith,30290
minCardinality,3020
unionOf,16992
sub-area-of,19
inverseOf,16719
oneOf,568
imports,1298
cardinality,3758
onDataRange,609
backwardCompatibleWith,54
priorVersion,226
maxQualifiedCardinality,252
versionIRI,242
someValuesFrom,25732
date,1005
hasResourceInfo,6
hasSite,4
requiresIncome,2
siteOf,2
acceptsPaymentMethod,2
url,151
country-name,2
isAvailableForReferral,6
hasLanguageAvailability,2
language,43
hasDateLastVerified,6
hasInternetResource,4
excludesFromWebsite,2
hasApplicationProcess,2
annotatedProperty,820
hasLastActionType,6
hasDateOfLastAction,6
hasAgency,2
hasTelephone,4
postal-code,2
opensAtTimes,2
isSeasonal,2
isAvailableForResearch,6
isAvailableForDirectory,6
hasStatus,6
requiresFamily,2
locality,2
hasRelated,2
hasSeasonalSchedule,2
servesGeographicArea,4
annotatedSource,820
offersService,4
isConfidential,2
isInCensusTract,2
isMailingAddress,2
annotatedTarget,820
hasAddress,2
hasRecordOwner,2
hasGenderRequirement,2
requiresResidency,2
hasYearIncorporated,2
hasAlternateName,2
organization-name,2
isLicensedBy,2
hasServiceGroup,4
region,10
requiresGender,2
hasLanguageTimeOpen,2
requiresDocument,2
isPhysicalAddress,2
hasTaxonomyCode,4
hasFEIN,2
hasLicenseAccreditation,2
hasLegalStatus,2
isNotAlwaysAvailable,2
requiresGeneralEligibility,2
street-address,2
requiresMinimumAge,2
attributesResourceSpecialist,3
isInCensusTrack,2
excludesFromDirectory,1
offersSpokenLanguage,1
value,2539
rights,503
replaces,176
requires,44
identifier,22809
hasFormat,114
format,333
isVersionOf,47
usageNote,381
permits,57
correspondsTo,188
correspondsToInverse,88
sameAs,4861
hasGndCode,17
equivalentProperty,15401
publisher,529
available,14
propertyChainAxiom,538
term_Status,1
maker,129
equivalentClass,156530
specializes,19
affiliation,103
describedby,10460
homepage,609
abstract,100
